Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Millburn",315,4,7,3,200,18.18,Ridgewood,75,2,2,3,40,10.00,20
"
Northern Valley Demarest A",235,4,5,1,130,14.44,East Brunswick B,30,0,3,4,20,6.67,20
"
Bronx Science",285,2,8,3,190,19.00,Edison A,100,2,2,0,50,12.50,20
"
Princeton High B",280,6,3,4,180,20.00,East Brunswick A,105,1,4,0,50,10.00,20
"
West Essex B",205,1,9,0,100,10.00,Watchung Hills B,35,0,3,1,10,3.33,20
"
Livingston A",375,5,6,0,240,21.82,Mountain Lakes A,205,4,5,1,100,11.11,20
"
West Essex A",260,2,9,4,160,14.55,Livingston D,95,0,5,1,50,10.00,20
"
Middlesex County Academy B",245,2,7,1,150,16.67,St. Joseph,110,0,4,0,70,17.50,20
"
Edison B",320,1,10,1,210,19.09,Princeton High A,195,3,3,4,140,23.33,20
"
Northern Valley Demarest B",155,1,6,2,90,12.86,Jonathan Dayton,50,1,3,1,10,2.50,20
"
Mountain Lakes B",195,0,9,1,110,12.22,Livingston F,95,0,6,1,40,6.67,20
"
Wilmington Charter",275,5,5,2,160,16.00,Middlesex County Academy A,200,2,5,2,130,18.57,20
"
Morristown-Beard",175,3,5,0,80,10.00,Immaculata,110,0,6,0,50,8.33,20
"
Montgomery",185,1,5,2,130,21.67,Seton Hall Prep A,130,2,3,0,70,14.00,20
"
Hastings B",175,1,5,0,110,18.33,Princeton International,135,0,6,1,80,13.33,20
"
Watchung Hills A",155,1,6,0,80,11.43,East Brunswick C,120,0,6,2,70,11.67,20
"
Livingston B",210,5,3,1,110,13.75,Hastings A,175,2,5,1,100,14.29,20
"
Choate",305,4,6,1,190,19.00,West Windsor-Plainsboro North,275,5,4,2,170,18.89,20
"
Livingston C",185,3,4,2,110,15.71,Holmdel,160,0,7,2,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Choate",575,11,6,0,350,20.59,Wilmington Charter,90,2,1,6,80,26.67,20
"
Livingston A",500,11,3,1,310,22.14,Edison B,185,2,4,1,120,20.00,20
"
Montgomery",305,5,9,0,140,10.00,Mountain Lakes B,10,0,1,2,10,10.00,20
"
West Essex A",340,3,10,3,210,16.15,Middlesex County Academy B,115,0,5,1,70,14.00,20
"
Edison A",305,5,6,4,190,17.27,Hastings A,145,0,6,3,100,16.67,20
"
East Brunswick A",220,0,9,2,140,15.56,East Brunswick B,95,1,5,4,50,8.33,20
"
Princeton High B",360,6,6,0,210,17.50,Millburn,235,4,3,3,160,22.86,20
"
Princeton International",220,2,8,0,110,11.00,Bloomfield,110,1,4,3,70,14.00,20
"
West Essex B",185,1,8,2,100,11.11,Northern Valley Demarest B,75,0,5,1,30,6.00,20
"
Ridgewood",190,1,6,1,120,17.14,Northern Valley Demarest A,110,1,5,3,60,10.00,20
"
Seton Hall Prep B",165,1,8,0,70,7.78,Pingry,85,0,5,1,40,8.00,20
"
Livingston C",200,2,8,2,100,10.00,Hastings B,125,2,5,1,50,7.14,20
"
Immaculata",150,0,8,2,80,10.00,Livingston F,85,0,5,1,40,8.00,20
"
West Windsor-Plainsboro North",325,4,6,3,220,22.00,Middlesex County Academy A,265,4,4,1,170,21.25,20
"
Livingston D",250,0,9,2,170,18.89,St. Joseph,210,2,6,0,120,15.00,20
"
St. Peter's Prep",190,2,9,2,80,7.27,Livingston E,165,2,5,1,90,12.86,20
"
Holmdel",180,0,9,0,90,10.00,King School Stamford,160,3,5,1,70,8.75,20
"
Watchung Hills A",120,0,6,2,70,11.67,Watchung Hills B,100,0,5,0,50,10.00,20
"
Princeton High A",285,5,5,2,170,17.00,Mountain Lakes A,270,6,4,4,160,16.00,20
"
Bronx Science",290,4,6,2,180,18.00,Livingston B,275,3,7,2,170,17.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Choate",320,5,7,3,190,15.83,Middlesex County Academy A,125,3,4,1,45,6.43,20
"
West Windsor-Plainsboro North",400,6,6,0,250,20.83,Wilmington Charter,235,2,6,1,150,18.75,20
"
Edison B",305,4,7,1,180,16.36,Mountain Lakes A,145,0,7,3,90,12.86,20
"
Livingston D",255,1,8,0,160,17.78,Middlesex County Academy B,120,1,5,4,75,12.50,20
"
Livingston B",305,3,9,2,180,15.00,Edison A,215,2,5,1,140,20.00,20
"
Princeton High A",360,4,7,0,230,20.91,Livingston A,315,3,6,4,230,25.56,20
"
West Essex A",185,0,6,1,130,21.67,St. Joseph,145,2,6,3,70,8.75,20
"
Bronx Science",190,3,6,3,100,11.11,Hastings A,175,1,6,2,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",120,2,1,0,80,26.67,Princeton High A,55,1,1,0,30,15.00,5
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",400,6,5,0,260,23.64,Choate,275,4,5,1,170,18.89,20
