Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
McLean B",270,0,12,2,160,13.33,Lee's Summit West,95,1,3,2,60,15.00,22
"
Strake Jesuit B",260,2,10,4,150,12.50,Burlington,90,0,5,2,50,10.00,22
"
Barrington A",380,7,5,5,250,20.83,Del Norte,220,1,7,3,150,18.75,23
"
Bloomington",295,3,9,2,170,14.17,Troy (NY),140,0,6,0,80,13.33,19
"
Athens",210,2,9,4,110,10.00,Saratoga Springs (NY),55,0,3,1,30,10.00,23
"
Mason",210,1,9,3,120,12.00,Detroit Country Day C,60,1,2,1,30,10.00,15
"
Saint Agnes",255,1,8,0,160,17.78,Kellenberg,125,1,4,4,90,18.00,20
"
Riverside",180,1,7,1,100,12.50,Burnsville,60,0,3,2,40,13.33,21
"
DeWitt",195,0,10,1,100,10.00,Jackson Academy,75,0,4,1,40,10.00,22
"
Copley A",280,3,7,5,190,19.00,Aiken,160,0,7,0,90,12.86,20
"
Cedar Crest",295,3,9,0,160,13.33,Morgantown A,180,2,5,2,110,15.71,20
"
Centennial C",255,1,9,2,160,16.00,Faith Lutheran,145,1,5,2,90,15.00,22
"
Centennial A",300,3,7,1,190,19.00,Northmont,190,0,8,2,120,15.00,21
"
High Tech",265,4,7,3,150,13.64,Staples,160,0,7,2,100,14.29,20
"
Detroit Country Day B",180,1,9,1,80,8.00,William Fremd C,75,1,3,4,50,12.50,24
"
St. Thomas",260,0,10,0,160,16.00,Southside (SC),160,0,7,2,100,14.29,21
"
Carnegie Vanguard",200,1,8,1,110,12.22,Carbondale,100,0,5,6,80,16.00,19
"
Elkhorn South",190,0,8,2,120,15.00,Bishop Kelley,90,0,5,4,60,12.00,18
"
Richard Montgomery B",195,0,9,1,110,12.22,Catholic B,105,0,6,3,60,10.00,22
"
Morris A",175,0,8,1,100,12.50,Catholic A,85,1,4,4,50,10.00,19
