Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Lambert",725,9,11,2,490,24.50,Mira Loma,125,1,3,2,90,22.50,24
"
Detroit Country Day A",605,4,15,1,400,21.05,Strake Jesuit B,105,1,3,2,70,17.50,23
"
Darien A",480,3,12,3,330,22.00,Carbondale,125,0,5,1,80,16.00,21
"
Wayzata A",440,3,10,1,300,23.08,Northmont A,95,1,3,0,50,12.50,18
"
Manheim Township A",445,2,13,1,290,19.33,Chamblee Charter,110,0,4,2,80,20.00,20
"
Dunbar A",400,1,13,1,260,18.57,Myers Park,70,0,4,4,50,12.50,21
"
Wayzata C",330,0,13,0,200,15.38,Thales Academy-Rolesville,20,0,1,2,20,20.00,19
"
Ithaca",385,3,11,2,240,17.14,Friends Select B,95,0,4,1,60,15.00,21
"
Livingston",405,3,10,0,260,20.00,Paideia,130,0,7,6,90,12.86,23
"
Cistercian C",385,2,11,1,250,19.23,Edgewood,110,0,5,0,60,12.00,20
"
East Grand Rapids",285,0,13,1,160,12.31,Grand Junction A,20,0,1,2,20,20.00,19
"
Thomas Jefferson Classical",335,1,11,0,210,17.50,Weston,80,0,4,2,50,12.50,18
"
St. Louis Park",315,0,12,1,200,16.67,North Kansas City,70,0,4,2,40,10.00,22
"
Eden Prairie B",255,0,11,1,150,13.64,Coalgate,40,0,2,2,30,15.00,20
"
Saratoga",370,1,11,3,260,21.67,Copley,160,1,6,1,90,12.86,21
"
Hewitt-Trussville",290,0,13,2,170,13.08,Vista Del Lago B,80,0,4,2,50,12.50,21
"
Southside A",410,4,9,0,260,20.00,Glasgow,210,2,5,2,140,20.00,22
"
Silver Spring Scholars A",415,3,9,2,290,24.17,Wilton,220,1,7,1,140,17.50,21
"
Chelsea",290,1,10,1,180,16.36,Grand Junction B,95,1,3,2,60,15.00,19
"
Eden Prairie A",335,0,11,1,230,20.91,Sparkman,145,0,6,1,90,15.00,19
"
Dutch Fork A",280,0,13,2,160,12.31,Manheim Township B,95,0,4,1,60,15.00,19
"
Great Valley A",415,4,9,1,270,20.77,Cinco Ranch A,245,3,5,0,150,18.75,22
"
Staples",295,2,10,1,170,14.17,Johns Creek A,130,0,5,2,90,18.00,19
